拍拍贷	https://ld.ppdai.com/landing/loaninvite/mgmfifthbeinvite.html?inviteid=000067096569123733652596&source=2715&noShare=true#/  #暂时没有做
天天看看	http://www.kankan.com/
信融财富	https://www.xinrong.com/2.0/login2.0.html
聚宝匯	https://sso.jbh.com/login
图虫网	https://tuchong.com/
点融网	https://www.dianrong.com/account/login
团贷网	https://www.tuandai.com/user/login.aspx
小牛在线	https://www.xiaoniu88.com/user/login
G妹游戏	https://www.gm99.com/
人人小站	http://zhan.renren.com/login
人人网	http://www.renren.com/
人人贷	https://www.renrendai.com/pc/passport/index/login
叮当快药	http://m.ddky.com/regsiter.html
钱包金融	http://m.qb-jr.com/activity/activity_yunke/actname_711/channel_30082
金融工场	https://passport.9888keji.com/passport/login
易港金融	https://www.ycd360.com/user/login.html
恒信易贷	https://www.p2phx.com/
惠金所	https://www.hfax.com/login.html#/
老k游戏	http://www.lkgame.com/login.html
壹钱包m端	https://m.yqb.com/account/login
挑战反调试	http://www.xiaomeng666.cn/testAnti-bebug.html
筑龙	http://passport.zhulong.com/user/login
翼龙贷	https://passport.eloancn.com/login
芒果TV	http://i.mgtv.com/
逗游网	http://www.doyo.cn/passport/login
博客园	https://passport.cnblogs.com/user/signin
手机贝贝	http://m.beibei.com/login/login.html
58同城	http://nb.58.com/
微云保贝	http://www.99weiyun.com/web/pc/login
百草味	https://m.vipbcw.com/register/index
暴雪游戏	https://www.battlenet.com.cn/login/zh/
小葱	https://xcong.com/auth/login
喜马拉雅	http://www.ximalaya.com/explore/
HBT	http://www.hbtdeal.com/
车旺大卡	https://h5.95155.com/hb-mobile-api/dakaprolocutor/outindex.html?channel=19&dakaprolocutorId=a5225a7e-c725-4a7e-b4b5-582e630ffc4f
Base64图片	http://b2x-h5statichtml.s3-website.cn-northwest-1.amazonaws.com.cn/yqmh5/index.html?userId=2175117&invitationCode=SH20190636509187
_platform=copy_link&task_id=101&channel=h5&platform=android&client_v=1.333&invite_code=MD2R2A&_timestamp=1557244800&_sign=c99aeefb041f9ef74e31a358f7d1703d
51钱吧	https://www.51qianba.com/web/fdLoginController.do?fdLogin
139邮箱	http://mail.10086.cn/
37游戏	http://www.37.com/
188游戏中心	http://www.188wan.com/
百方网	http://www.byf.com/member/login.php
朝夕网	http://www.zhaoxi.net/login.php
爱钱进	https://www.iqianjin.com/user/login
利德金融	http://www.leadbank.com.cn/login
民投金服	https://www.100lending.com/user/login
同花顺	http://upass.10jqka.com.cn/login
金融界	https://sso.jrj.com.cn/sso/ssopassportlogin
4366	http://www.4366.com/
搜狐闪电邮	https://mail.sohu.com/fe/#/login
中国商机网	http://www.863535.com/member/login.php
玖富普惠	https://8.9fpuhui.com/login.html
民贷天下	https://bank.mindai.com/login.html
小赢理财	https://basic.xiaoying.com/promotion
绿岸网络	http://passport.iwgame.com/sso/loginpage.do
掌众财富	https://account.wealth365.com.cn/login.html
工场微金	https://www.gongchangp2p.com/
地标金融	http://www.dib66.com/
城铁在融	http://www.ctzrnet.com/user/to_login
安居客	https://nb.anjuke.com/
指望财富	http://www.91zhiwang.com/dt/login
共赢金融	https://www.wlgyjr.com/index.php?ctl=user&act=login
中华英才网	http://www.chinahr.com/home/nb/
github登陆
leetcode登陆
taobao   天猫  京东 登录

